Class name,Quarter Offered,Career,Grading,Class Number,Type,Instruction Mode,Credits,General education,Status,Available Seats,Enrollment Capacity,Enrolled,Wait List Capacity,Wait List Total,Description,Enrollment Requirements,Class Notes,Meeting Information,Associated Discussion Sections or Labs
Magnetohydrodynamics,2025 Winter Quarter,Graduate,Student Option,30513,Lecture,In Person,5 units,,Open,8,,7,0,0,"Studies the interaction of fluid motion and magnetic fields in electrically conducting fluids, with applications in many natural and man-made flows ranging from, for example, planetary physics and astrophysics to industrial metallurgic engineering. (Formerly AMS 275.)",Prerequisite(s): AM 107 or AM 217. AM 227 suggested. Enrollment is restricted to graduate students.,Also offered as EART 275,"Days & Times: TuTh 11:40AM-01:15PM, Room: Porter Acad 250, Instructor: Brummell,N.H., Dates: 01/06/25 - 03/14/25",
Seminar in Applied Mathematical Modeling,2025 Winter Quarter,Graduate,Student Option,31258,Seminar,In Person,2 units,,Open,3,15,12,0,0,Weekly seminar series covering topics of current research in applied mathematics and statistics. Permission of instructor required. Enrollment is restricted to graduate students. (Formerly AMS 280B.) May be repeated for credit.,,,"Days & Times: M 04:00PM-05:05PM, Room: J Baskin Engr 372, Instructor: Gomez,M., Dates: 01/06/25 - 03/14/25",
Seminar in Geophysical and Astrophysical Fluid Dynamics,2025 Winter Quarter,Graduate,Student Option,30512,Seminar,In Person,2 units,,Open,10,15,5,0,0,Weekly seminar/discussion group on geophysical and astrophysical fluid dynamics covering both analytical and computational approaches. Participants present research progress and findings in semiformal discussions. Students must present their own research on a regular basis. (Formerly AMS 280C.) May be repeated for credit.,Enrollment is restricted to graduate students; undergraduates may enroll by permission of the instructor.,,"Days & Times: W 10:40AM-11:45AM, Room: J Baskin Engr 169, Instructor: Brummell,N.H., Dates: 01/06/25 - 03/14/25",
Introduction to Archaeology,2025 Winter Quarter,Undergraduate,Student Option,30298,Lecture,In Person,5 units,SI,Open,26,255,229,0,0,"Overview of ways of learning about the human past beyond the scope of written history. Reviews development of archaeology, fundamental methods and theories, and archaeology's contribution to understanding human origins, the emergence of farming, and the origins of complex societies.",,,"Days & Times: TuTh 09:50AM-11:25AM, Room: Media Theater M110, Instructor: Monroe,J.C., Dates: 01/06/25 - 03/14/25","#31872 DIS 01A, Tu 11:40AM-12:45PM, Nuss Louis,K.F., Loc: Soc Sci 1 451, Enrl: 15 / 15, Wait: 0 / 0, Closed; #31871 DIS 01B, Tu 01:30PM-02:35PM, Nuss Louis,K.F., Loc: Soc Sci 1 451, Enrl: 14 / 15, Wait: 0 / 0, Open; #31870 DIS 01C, Tu 03:20PM-04:25PM, Ajayi,B.D., Loc: Soc Sci 1 451, Enrl: 15 / 15, Wait: 0 / 0, Closed; #31869 DIS 01D, Tu 05:20PM-06:25PM, Patroni Castillo,P., Loc: Soc Sci 1 451, Enrl: 15 / 15, Wait: 0 / 0, Closed; #31868 DIS 01E, W 09:20AM-10:25AM, Louis,C., Loc: Soc Sci 1 451, Enrl: 14 / 15, Wait: 0 / 0, Open; #31867 DIS 01F, W 10:40AM-11:45AM, Ayedoun,A., Loc: Soc Sci 1 451, Enrl: 15 / 15, Wait: 0 / 0, Closed; #31866 DIS 01G, Tu 06:40PM-07:45PM, Louis,C., Loc: Soc Sci 1 451, Enrl: 15 / 15, Wait: 0 / 0, Closed; #31865 DIS 01H, Th 11:40AM-12:45PM, Patroni Castillo,P., Loc: Soc Sci 1 451, Enrl: 15 / 15, Wait: 0 / 0, Closed; #31864 DIS 01I, Th 01:30PM-02:35PM, Patroni Castillo,P., Loc: Soc Sci 1 451, Enrl: 15 / 15, Wait: 0 / 0, Closed; #31863 DIS 01J, Th 03:20PM-04:25PM, Louis,C., Loc: Soc Sci 1 451, Enrl: 15 / 15, Wait: 0 / 0, Closed; #31862 DIS 01K, Th 05:20PM-06:25PM, Ajayi,B.D., Loc: Soc Sci 1 451, Enrl: 15 / 15, Wait: 0 / 0, Closed; #31861 DIS 01L, F 09:20AM-10:25AM, Rowan,S.R., Loc: Soc Sci 1 451, Enrl: 15 / 15, Wait: 0 / 0, Closed; #31860 DIS 01M, F 10:40AM-11:45AM, Rowan,S.R., Loc: Soc Sci 1 451, Enrl: 15 / 15, Wait: 0 / 0, Closed; #31859 DIS 01N, F 12:00PM-01:05PM, Rowan,S.R., Loc: Soc Sci 1 451, Enrl: 15 / 15, Wait: 0 / 0, Closed; #31858 DIS 01O, W 08:00AM-09:05AM, Ayedoun,A., Loc: Soc Sci 1 451, Enrl: 5 / 15, Wait: 0 / 0, Open; #31857 DIS 01P, Th 08:30AM-09:35AM, Ayedoun,A., Loc: Soc Sci 1 451, Enrl: 9 / 15, Wait: 0 / 0, Open; #31856 DIS 01Q, Th 06:40PM-07:45PM, Ajayi,B.D., Loc: Soc Sci 1 451, Enrl: 7 / 15, Wait: 0 / 0, Open"
History and Theory of Biological Anthropology,2025 Winter Quarter,Undergraduate,Student Option,31212,Lecture,Asynchronous Online,5 units,TA,Closed,0,0,28,0,0,"Provides an historical overview from the 18th century to the present of race, ape-human relationships, and human nature. Emergence of an evolutionary framework and of fossil, genetic, and primate information becomes the basis for reformulating ideas about human biology within anthropology.","Prerequisite(s): ANTH 1, ANTH 2, and ANTH 3 and satisfaction of the Entry Level Writing and Composition requirements.",,"Days & Times: , Room: Online, Instructor: Reti,J., Dates: 01/06/25 - 03/14/25",
Human Skeletal Biology,2025 Winter Quarter,Undergraduate,Student Option,31095,Lecture,In Person,5 units,,Closed,0,0,28,0,0,Presents basic human osteology allowing students to identify skeletal material by element. Emphasizes the dynamic nature of bone by integrating anatomy with a discussion of bone physiology within the context of the human life cycle.,Prerequisite(s): ANTH 1.,,"Days & Times: MWF 10:40AM-11:45AM, Room: Soc Sci 1 461, Instructor: Schach,E.A., Dates: 01/06/25 - 03/14/25",
Primate Behavior and Ecology,2025 Winter Quarter,Undergraduate,Student Option,30302,Lecture,In Person,5 units,,Closed,0,0,50,0,0,"The nature of primate social systems and social bonds is examined in the light of evolutionary and ecological concepts. We explore the evolution of primate social system behavior and culture, as well as the ecologies of primate populations.",Prerequisite(s): ANTH 1.,,"Days & Times: MWF 01:20PM-02:25PM, Room: Soc Sci 2 075, Instructor: Oelze,V., Dates: 01/06/25 - 03/14/25",
Methods and Research in Biological Anthropology: Genetics,2025 Winter Quarter,Undergraduate,Student Option,32972,Laboratory,In Person,5 units,,Open,5,15,10,0,0,"Introduces the molecular analyses of anthropological questions and explores the intersection of genetics and anthropology. Covers the basic principles of molecular and population genetics as they relate to the study of humans. Prerequisite(s): ANTH 1 and ANTH 104. ANTH 102A is recommended. Enrollment by permission of instructor. (Formerly ANTH 107, Methods and Research in Molecular Anthropology.)",,,"Days & Times: Tu 01:30PM-04:30PM, Room: Soc Sci 1 317, Instructor: Fehren-Schmitz,L., Dates: 01/06/25 - 03/14/25",
Methods and Research in Biological Anthropology: Stable Isotopes,2025 Winter Quarter,Undergraduate,Student Option,31171,Laboratory,In Person,5 units,PE-H,Open,5,15,10,0,0,"This combination of lectures, readings, discussions, and hands-on laboratory experience provides a comprehensive overview of stable isotope research to reconstruct diet and mobility. Discover the wide application of isotopic research in biological anthropology, bioarcheology, primatology and forensics. Prerequisite(s): at least one of ANTH 101, ANTH 104, ANTH 106, ANTH 107, or ANTH 110F and by permission of the instructor. (Formerly Methods and Research in Stable Isotope Ecology.)",Prerequisite(s): ANTH 101 or ANTH 104 or ANTH 106 or ANTH 107 or ANTH 110F.,,"Days & Times: F 03:00PM-06:00PM, Room: Soc Sci 1 431, Instructor: Oelze,V., Dates: 01/06/25 - 03/14/25",
Anthropology of Global Environmental Change,2025 Winter Quarter,Undergraduate,Student Option,30284,Lecture,In Person,5 units,PE-E,Open,36,70,34,0,0,"Introduces anthropological and historical approaches to environmental change and globalization. Key themes include: capitalism and industrialization, environmental politics, global culture, and relations between humans and other species.",,,"Days & Times: TuTh 03:20PM-04:55PM, Room: Soc Sci 2 071, Instructor: Tsing,A.L., Dates: 01/06/25 - 03/14/25",
Feeding California,2025 Winter Quarter,Undergraduate,Student Option,30689,Lecture,Asynchronous Online,5 units,PE-H,Closed,0,0,69,0,0,"Online course introducing students to social practices, political processes, and cultural contexts that shape food production and consumption. Considers identity, heritage, choice, power, agency, body practices, belonging, access, safety, and security. Prioritizes California case studies, with comparative examples from around the world.",,,"Days & Times: , Room: Online, Instructor: Caldwell,M.L., Dates: 01/06/25 - 03/14/25","#33060 DIS 01A, W 09:20AM-10:25AM, Brown,R.E., Loc: Online, Enrl: 23 / 0, Wait: 0 / 0, Closed; #33059 DIS 01B, W 10:40AM-11:45AM, Ng,N.A., Loc: Online, Enrl: 22 / 0, Wait: 0 / 0, Closed; #33061 DIS 01C, F 09:20AM-10:25AM, Ng,N.A., Loc: Online, Enrl: 24 / 0, Wait: 0 / 0, Closed"
Cultures of India,2025 Winter Quarter,Undergraduate,Student Option,31211,Lecture,Asynchronous Online,5 units,ER,Closed,0,0,34,0,0,"An examination of anthropological studies of tribal, rural, and urban cultures of India and a look at changes taking place in India.",,,"Days & Times: , Room: Online, Instructor: Pandey,A.D., Dates: 01/06/25 - 03/14/25",
"Native Feminisms, Gender, and Settler Colonialism",2025 Winter Quarter,Undergraduate,Student Option,30301,Lecture,In Person,5 units,ER,Closed,0,0,41,0,0,"Covers Native feminisms, gender, settler colonialism, and ethnography. Students read ethnographies that intervene in Native feminisms and its possibilities. Focuses on ethnographies in the U.S., including Native men and masculinities in Hawaii.",,,"Days & Times: TuTh 08:00AM-09:35AM, Room: Soc Sci 2 179, Instructor: Ramirez,R.K., Dates: 01/06/25 - 03/14/25",
"Food, Culture, and Justice in Israel/Palestine",2025 Winter Quarter,Undergraduate,Student Option,30289,Lecture,In Person,5 units,,Open,13,50,37,0,0,"Examines the tensions within Israeli society and its relationships with other countries through food and eating habits, focusing on the relations with the Palestinian people sharing the same land. Given that food is a medium through which one can analyze social and cultural relations (and fights?), this course focuses on how food and eating patterns reflect, shape, and influence modern Israel. By doing so, the course provides a unique angle to major social and cultural issues in Israel, such as the relationship between Jews and Palestinians in Israel, cultural and social tensions between different ethnic groups, the effect of global food trends on Israeli society. (Formerly Food Fights: Food, Culture, and Society in Israel.)",,Disclaimer: While this course aims to enhance students' understanding of the Israeli-Palestinian conflict - It would not directly engage with the current war between Israel and the Palestinian Hamas.,"Days & Times: TuTh 11:40AM-01:15PM, Room: Soc Sci 2 179, Instructor: Amram,A., Dates: 01/06/25 - 03/14/25",
Survey of Cultural Anthropological Theory,2025 Winter Quarter,Undergraduate,Student Option,30283,Lecture,In Person,5 units,TA,Open,17,60,43,0,0,"Major figures, ideas, and writings in 19th- and 20th-century cultural anthropology surveyed. Students cannot receive credit for this course and ANTH 252.",Prerequisite(s): ANTH 2 and satisfaction of the Entry Level Writing and Composition requirements; enrollment is restricted to anthropology majors.,,"Days & Times: TuTh 03:20PM-04:55PM, Room: Soc Sci 2 075, Instructor: Anderson,M.D., Dates: 01/06/25 - 03/14/25","#31855 DIS 01A, Tu 09:50AM-10:55AM, Reyes,S.R., Loc: Soc Sci 1 317, Enrl: 6 / 15, Wait: 0 / 0, Open; #31854 DIS 01B, W 10:40AM-11:45AM, Reyes,S.R., Loc: Soc Sci 1 317, Enrl: 15 / 15, Wait: 0 / 0, Closed; #31853 DIS 01C, W 01:20PM-02:25PM, Dobson,R.K., Loc: Soc Sci 1 317, Enrl: 14 / 15, Wait: 0 / 0, Open; #31852 DIS 01D, F 01:20PM-02:25PM, Dobson,R.K., Loc: Soc Sci 1 317, Enrl: 8 / 15, Wait: 0 / 0, Open"
Andean Archaeology,2025 Winter Quarter,Undergraduate,Student Option,33136,Lecture,In Person,5 units,ER,Open,7,50,43,0,0,"Review of the archaeology and ethnohistory of the Central Andes, with a particular emphasis on the values and practices of Andean communities. Explores the whole Andean sequence, from the peopling of South America, early Andean societies, the development of states and empires, and the Spanish invasion.",Prerequisite(s): ANTH 3.,,"Days & Times: TuTh 01:30PM-03:05PM, Room: N. Sci Annex 101, Instructor: Hernandez Garavito,C., Dates: 01/06/25 - 03/14/25",
Environmental Archaeology,2025 Winter Quarter,Undergraduate,Student Option,30291,Lecture,In Person,5 units,,Open,1,68,67,0,0,"Introduces students to methods and theories in the study of past human-environment interactions. Examines the use of archaeological environmental data (geological, botanical, faunal, chemical) and explores topics, such as megafaunal extinctions, domestication, and human impacts on environments.",,,"Days & Times: TuTh 11:40AM-01:15PM, Room: PhysSciences 114, Instructor: Quintana Morales,E.M., Dates: 01/06/25 - 03/14/25",
Practicum in Archaeology B,2025 Winter Quarter,Undergraduate,Student Option,30930,Laboratory,In Person,2 units,PR-S,Open,5,10,5,0,0,"Introduces practical skills in archaeological materials identification of stone, shell, bone, and other materials, curation, and database management. Students receive entry-level training with once-weekly class meetings and five hours per week of hands-on work. Prerequisite(s): ANTH 1, ANTH 2, and ANTH 3, and instructor consent. All three courses in sequence (ANTH 188A, ANTH 188B, ANTH 188C) required to count for the anthropology major or minor.May be repeated for credit.",,,"Days & Times: F 10:00AM-03:00PM, Room: Soc Sci 1 341, Instructor: Monroe,J.C., Dates: 01/06/25 - 03/14/25",
Archaeologies of Space and Landscape,2025 Winter Quarter,Undergraduate,Student Option,32612,Seminar,In Person,5 units,,Closed,0,0,18,0,0,"Examines contemporary archaeological perspectives on space and landscape. Focuses on how archaeology can contribute to an appreciation of the economic, cultural, and political factors that shape human perception, use, and construction of the physical world.","Prerequisite(s): ANTH 1, ANTH 2, and ANTH 3; an upper-division archaeology course; satisfaction of the Entry Level Writing and Composition requirements. Enrollment is restricted to senior anthropology  and earth sciences/anthropology combined majors.",,"Days & Times: TuTh 03:20PM-04:55PM, Room: Thimann Lab 101, Instructor: Hernandez Garavito,C., Dates: 01/06/25 - 03/14/25",
Biological Anthropology Senior Thesis Series: Guided Laboratory Research,2025 Winter Quarter,Undergraduate,Student Option,31098,Laboratory,In Person,2 units,,Open,5,10,5,0,0,"Guides students as they conduct the research projects proposed in ANTH 195A and is intended to promote a collaborative laboratory environment where students can share their progress and discuss problems and results with the group of other participating students and the instructor. This course reinforces the continuous exchange of ideas between students, ensuring that students do not work on individual projects in complete isolation. (Formerly Senior Thesis Research.)",Prerequisite(s): ANTH 195A. Enrollment is restricted to senior anthropology majors.,,"Days & Times: TuTh 01:30PM-03:05PM, Room: Soc Sci 1 414, Instructor: Reti,J., Dates: 01/06/25 - 03/14/25",
Food and Medicine,2025 Winter Quarter,Undergraduate,Student Option,32611,Seminar,In Person,5 units,,Closed,0,0,18,0,0,"Examines the intersections of food, medicine, and culture with special focus on nutrition, cultural knowledge, industrial foodways, genetically modified organisms (GMOs), ethnopharmacology, food safety, and biosecurity.","Prerequisite(s): satisfaction of the Entry Level Writing and Composition requirements; and ANTH 1, ANTH 2, and ANTH 3.",,"Days & Times: Tu 05:00PM-08:00PM, Room: Soc Sci 1 317, Instructor: Chen,N.N.Kikon,D., Dates: 01/06/25 - 03/14/25",
Medicines for the Soul,2025 Winter Quarter,Undergraduate,Student Option,30955,Seminar,In Person,5 units,,Closed,0,0,0,0,0,"Examines the soul as an act of being, as motion, and as a figure that comes to stand between immaterial and material, psyche and body, memory and imagination, life and death, madness and prophecy?all in order to consider larger anthropological questions of cultural and historical transmission. Course explores descriptions of the soul as found in early 20th century anthropological and ethnographic texts and its reappearance in psychology and psychological anthropology and, too, its haunting absence in contemporary anthropological texts.","Prerequisite(s): ANTH 1, ANTH 2, and ANTH 3, and satisfaction of the Entry Level Writing and Composition requirements. Enrollment is restricted to senior anthropology majors.",,"Days & Times: Cancelled, Room: N/A, Instructor: N/A, Dates: N/A",
